name,place_type,lat,lon,cost,address,nearby_wifi
BALLYCONNOR PARK,park,43.7999421455498,-79.386286144525,free,21 Ballyconnor Crt,False
LEE LIFESON ART PARK,park,43.7685962408726,-79.4094691092002,free,45 Princess Ave,False
VRADENBURG PARK,park,43.7748452162814,-79.3101958276517,free,40 Vradenberg Dr,False
KENNARD PARKETTE,park,43.7593498685642,-79.4630358632808,free,183 Kennard Ave,False
DERRYDOWNS PARK,park,43.7543026026748,-79.5073189225195,free,271 Derrydown Rd,False
GALLOWAY PARK,park,43.7567871111071,-79.1937034114438,free,90 Galloway Rd,False
ALBERT STANDING PARK,park,43.7604649362376,-79.4131720754705,free,50 Bogert Ave,False
DAVID CROMBIE PARK,park,43.6487685171545,-79.3673390336933,free,131 The Esplanade,False
CHERRY BEACH CLARKE BEACH PARK,park,43.6406162135063,-79.3393838456921,free,1 Cherry St,False
TRACE MANES PARK,park,43.7055701921424,-79.3674495114294,free,110 Rumsey Rd,True
AGINCOURT PARK,park,43.7882598441152,-79.2749181790006,free,27 Glen Watford Dr,False
TAPSCOTT WOODLOT,park,43.8063937274138,-79.2275288033939,free,271 Tapscott Rd,False
KENNETH PARK,park,43.77719930899,-79.4105380997098,free,417 Kenneth Ave,False
LAKERIDGE PARKETTE,park,43.7728905752013,-79.1382895766183,free,46 Lakeridge Dr,False
VILLAWAYS PARK,park,43.7755797493177,-79.3669801863882,free,4600 Leslie St,False
VYNER GREENBELT,park,43.7610520974473,-79.3717202773847,free,16 Vyner Rd,False
HARLANDALE PARKETTE,park,43.7603108786983,-79.4215080067587,free,206 Harlandale Ave,False
LORD SEATON PARK,park,43.7597336343403,-79.3969293545534,free,168 Upper Canada Dr,False
POPLAR PARK,park,43.7558364565504,-79.1892108274768,free,40 Wooster Wood,False
HARRISON PROPERTIES,park,43.6943590052197,-79.2585112482202,free,1845 Kingston Rd,False
DANFORTH - BIRCHMOUNT PARKETTE,park,43.6955127328948,-79.2669219080227,free,3625 Danforth Ave,False
WOODBOROUGH PARK,park,43.6968422103694,-79.4696432351612,free,1486 Castlefield Ave,False
FAIRCHILD PARKETTE,park,43.7853604616437,-79.4209208980448,free,51 Fairchild Ave,False
PLEASANTVIEW PARK,park,43.7834790551696,-79.3360321363675,free,61 Pleasant View Dr,False
COLONEL DANFORTH PARK,park,43.7784151332445,-79.1687754145314,free,73 Colonel Danforth Trl,False
HIDDEN TRAIL PARK,park,43.7841521875966,-79.458455215459,free,506 Hidden Trl,False
MORNINGSIDE PARK,park,43.7780467185206,-79.2049864228266,free,390 Morningside Ave,False
PRINCESS PARK,park,43.7687462689566,-79.4109888865668,free,214 Doris Ave,False
MONDEO PARK,park,43.7663779304641,-79.2890753386945,free,80 Mondeo Dr,False
CEDARBROOK PARK,park,43.7537927252453,-79.2275138034893,free,91 Eastpark Blvd,False
SPINNEY GREENBELT,park,43.7572675307723,-79.3387651569845,free,10 Spinney Crt,False
SECOR MEMORIAL PARK,park,43.7545438537099,-79.2230076814395,free,469 Markham Rd,False
FIRGROVE PARK,park,43.7506299180344,-79.5215981441151,free,254 Firgrove Cres,False
GIHON SPRING PARK,park,43.7545277670049,-79.5946310987278,free,75 Gihon Spring Dr,False
GARDEN AVENUE PARKETTE,park,43.7854487915637,-79.2721583164436,free,34 Garden Park Ave,False
PORT UNION VILLAGE COMMON PARK,park,43.7757496415055,-79.1350959708521,free,105 Bridgend St,False
FINCH PARKETTE,park,43.7803497301628,-79.414222186896,free,30 Finch Ave E,False
PELMO PARK,park,43.7133754999674,-79.5176161188015,free,171 Pellatt Ave,False
TALARA PARK,park,43.7660731468694,-79.3766190524237,free,35 Talara Dr,False
HAIMER PARK,park,43.7552325571087,-79.5908186131553,free,46 Haimer Ave,False
RANCHDALE PARK,park,43.7511797658698,-79.3230115741574,free,44 Ranchdale Cres,False
MCALLISTER PARK,park,43.7526724853656,-79.4400430172777,free,31 McAllister Rd,False
TOURNAMENT PARK,park,43.7515342359626,-79.3996976330704,free,40 Tournament Dr,False
KEMPFORD PARKETTE,park,43.7749425923569,-79.4170924625699,free,15 Santa Barbara Rd,False
NORTHTOWN PARK,park,43.7757999254538,-79.4115908004786,free,435 Doris Ave,False
CHIMNEY SWIFT PARK,park,43.6615197110276,-79.5509875958185,free,19 Glen Agar Dr,False
WISHING WELL PARK,park,43.7698684464757,-79.3166203958992,free,1700 Pharmacy Ave,False
AMBROSE PARKETTE,park,43.7707925811019,-79.3707723527528,free,5 Ambrose Rd,False
MANSE ROAD PARK,park,43.766196646931,-79.1721177127431,free,440 Coronation Dr,False
BIRKDALE RAVINE,park,43.7636620731995,-79.2626918695996,free,1297 Ellesmere Rd,False
ABBOTSFORD PARK,park,43.7706298923107,-79.4216115097544,free,2 A Abbotsford Rd,False
MOATFIELD FARM PARK,park,43.7641211301685,-79.3586395216856,free,355 Lesmill Rd,False
ST. ANDREWS PARK - SCARBOROUGH,park,43.7669358261106,-79.255832027612,free,50 Brimorton Dr,False
BLACK CREEK PARKLAND,park,43.7656160880799,-79.5095169350272,free,1650 Finch Ave W,False
SHOREHAM PARK,park,43.7692572898537,-79.5179110043167,free,2 Shoreham Crt,False
ISAAC DEVINS PARK,park,43.7296208834166,-79.5320643962953,free,55 Isaac Devins Blvd,False
BESSARION PARKETTE,park,43.7688188603863,-79.377107353803,free,72 Bessarion Rd,False
ENFIELD PARK,park,43.5916967969184,-79.547671551281,free,37 A Enfield Ave,False
TWENTY THIRD STREET PARKETTE,park,43.5908327938731,-79.5190856635856,free,1 A Lake Promenade,False
